City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Winslow,35.02,-110.7,28.0,32,1,8.2,US,1595028904
Port-Gentil,-0.72,8.78,24.0,94,90,5.59,GA,1595028964
Miura,35.14,139.62,20.56,96,100,0.45,JP,1595029195
Province of Mantua,45.17,10.78,20.0,77,40,4.02,IT,1595028918
Vilyuysk,63.76,121.62,13.68,96,100,1.83,RU,1595029196
Batagay,67.63,134.63,13.6,76,100,2.21,RU,1595029196
Porto-Novo,6.5,2.6,24.0,94,20,3.1,BJ,1595028752
Chokurdakh,70.63,147.92,13.1,46,0,3.35,RU,1595028727
Auki,-8.77,160.7,29.31,67,81,2.04,SB,1595029196
Tessalit,20.2,1.01,33.8,21,1,4.69,ML,1595028928
Il’inskiy,55.62,38.12,16.67,82,72,3.0,RU,1595029197
Ekibastuz,51.67,75.37,23.69,69,92,4.47,KZ,1595029011
San Clemente,33.43,-117.61,26.67,75,5,0.45,US,1595029197
Ochamchira,42.71,41.47,22.78,84,67,0.9,GE,1595029198
Galveston,29.37,-94.97,30.56,66,1,5.7,US,1595029198
Buta,2.79,24.73,21.03,97,100,0.55,CD,1595029198
Cherskiy,68.75,161.3,14.98,58,78,4.01,RU,1595028920
Assiut,27.18,31.18,22.0,53,0,2.6,EG,1595029198
Cajamarca,-7.16,-78.5,19.0,37,20,3.6,PE,1595029199
Saldanha,-33.01,17.94,10.0,76,0,1.0,ZA,1595028911
Guerrero Negro,27.98,-114.06,26.27,47,0,7.19,MX,1595028765
Aksu,41.12,80.26,26.21,39,100,4.8,CN,1595028915
Longyearbyen,78.22,15.64,10.0,71,20,5.1,SJ,1595028923
Lompoc,34.64,-120.46,21.11,60,13,5.7,US,1595028751
Ahipara,-35.17,173.17,17.53,82,95,3.33,NZ,1595028967
Kathu,7.92,98.33,28.89,94,20,2.49,TH,1595029200
Christchurch,-43.53,172.63,8.89,100,100,2.6,NZ,1595028871
Bandarbeyla,9.49,50.81,27.74,46,82,12.5,SO,1595029201
Borogontsy,62.67,131.17,26.1,47,54,3.0,RU,1595029201
Aden,12.78,45.04,33.77,50,100,4.03,YE,1595029201
Klyuchi,52.27,79.17,20.44,70,100,5.82,RU,1595029201
Le Port,-20.94,55.29,17.0,82,20,1.5,RE,1595029202
The Valley,18.22,-63.06,28.33,69,40,4.6,AI,1595028917
Haukipudas,65.18,25.35,15.56,87,74,2.6,FI,1595029202
Port Lincoln,-34.73,135.87,15.0,51,86,10.27,AU,1595028911
Marabu,4.41,114.01,25.0,100,40,1.5,MY,1595028924
Pedernales,18.04,-71.74,31.0,70,20,6.2,DO,1595028915
Mount Gambier,-37.83,140.77,9.0,70,100,6.7,AU,1595028809
Cairns,-16.92,145.77,20.0,68,100,4.6,AU,1595028992
Ferkessédougou,9.6,-5.2,22.73,91,100,3.3,CI,1595029204
Ancud,-41.87,-73.82,9.0,100,75,6.7,CL,1595028937
Wuning,29.26,120.23,27.97,80,92,1.05,CN,1595029204
Seoul,37.57,126.98,25.0,73,20,0.93,KR,1595028834
Saint-François,46.42,3.91,13.33,87,26,0.5,FR,1595029205
Aksarka,66.56,67.8,11.06,93,100,5.85,RU,1595029205
Thunder Bay,48.4,-89.32,28.0,45,20,6.2,CA,1595029090
Lanzhou,36.06,103.79,16.11,89,100,1.02,CN,1595029117
Magadan,59.57,150.8,11.93,89,100,4.5,RU,1595028954
Cananéia,-25.01,-47.93,17.7,91,35,1.14,BR,1595029207
Kaffrine,14.11,-15.55,25.73,81,99,6.1,SN,1595029207
Port Macquarie,-31.43,152.92,16.67,75,32,0.45,AU,1595029004
Lagoa,39.05,-27.98,20.96,83,70,5.31,PT,1595028919
Cam Ranh,11.92,109.16,29.0,89,40,0.5,VN,1595029029
Pervoye Maya,56.16,44.72,16.11,100,13,1.75,RU,1595029208
Tsimmerbude,54.67,20.13,14.0,93,0,2.0,RU,1595029208
Sueyoshichō-ninokata,31.65,131.02,24.0,100,75,1.0,JP,1595029209
Batemans Bay,-35.72,150.18,10.56,79,8,1.34,AU,1595029210
Otradnoye,59.78,30.82,14.0,82,12,1.0,RU,1595029210
San Quintín,30.48,-115.95,23.42,63,0,7.05,MX,1595028916
Ashgabat,37.95,58.38,29.0,45,0,5.1,TM,1595029211
Boysun,38.21,67.2,21.24,37,1,0.47,UZ,1595029213
Buarcos,40.17,-8.88,20.56,82,0,0.5,PT,1595029213
Carutapera,-1.2,-46.02,23.91,92,5,2.01,BR,1595028944
Bay Roberts,47.6,-53.26,10.0,100,90,7.2,CA,1595029215
Lamu,-2.27,40.9,24.83,69,94,10.72,KE,1595029216
Yanam,16.73,82.22,25.68,91,91,1.82,IN,1595028796
Luau,-10.71,22.22,12.79,52,0,2.74,AO,1595029217
Sakakah,29.97,40.21,31.0,10,0,4.1,SA,1595028917
Polokwane,-23.9,29.47,4.0,51,0,2.1,ZA,1595029217
Kidal,18.44,1.41,33.38,32,41,4.09,ML,1595029217
Nishihara,26.18,127.76,29.0,89,75,4.1,JP,1595029217
Yenagoa,4.92,6.26,23.74,93,100,0.99,NG,1595029218
Mae Ramat,16.98,98.52,24.0,100,20,0.06,TH,1595029218
Bolu Province,40.67,31.58,15.17,82,8,0.88,TR,1595029218
Hammerfest,70.66,23.68,16.0,87,75,5.7,NO,1595029218
Novonukutskiy,53.7,102.71,12.15,87,2,4.83,RU,1595029218
Akhisar,38.92,27.84,18.99,80,0,2.84,TR,1595029219
Pinheiro,-2.52,-45.08,23.92,83,12,0.14,BR,1595029219
Pengcheng,36.43,114.17,23.42,65,68,1.61,CN,1595029219
Mehamn,71.04,27.85,15.06,72,100,5.38,NO,1595028968
Kaili,-3.46,120.21,22.98,85,15,0.9,ID,1595029220
Ocós,14.51,-92.19,32.0,74,20,3.1,GT,1595029220
Deputatsky,69.3,139.9,10.31,53,69,7.01,RU,1595028932
Yeniseysk,58.45,92.17,10.98,69,47,3.64,RU,1595029220
Asău,46.43,26.4,14.44,95,64,1.28,RO,1595028788
La Asuncion,11.03,-63.86,34.0,56,44,6.2,VE,1595029221
Dongsheng,39.82,109.98,17.92,66,76,6.41,CN,1595029221
Rūdbār,30.15,62.6,27.63,27,0,4.33,AF,1595029221
Nelson Bay,-32.72,152.15,13.89,87,40,3.1,AU,1595029222
Domoni,-12.26,44.53,24.15,70,79,7.67,KM,1595029223
Fort Nelson,58.81,-122.7,22.0,53,75,3.6,CA,1595028929
Barra do Garças,-15.89,-52.26,21.91,41,0,0.88,BR,1595029224
Mt. Pleasant,32.79,-79.86,30.56,70,1,2.6,US,1595029225
Camacha,33.08,-16.33,21.0,83,40,4.1,PT,1595028908
